岗位名称,公司名称,薪资,所在城市,工作经验,最低薪资,最高薪资,学历,企业性质,公司规模,最高工作经验,省市,平均薪资,公司最低规模,最低工作经验,招聘人数
大数据工程师,宁夏银洲信息技术有限公司,8千-1万,银川-兴庆区,1-3年,8000,1000,大专,民营 ,20-99人 ,3,宁夏,4500,20,1,10
大数据信息中心业务培训生,宁夏丝路通信息咨询服务有限公司,3千-6千,银川,不限,3000,6000,大专,民营 ,100-299人 ,20,宁夏,4500,100,20,10
数据治理岗,贝利特化学股份有限公司,8千-1.5万,石嘴山,1-3年,8000,15000,本科,股份制企业 ,1000-9999人 ,3,宁夏,11500,1000,1,1
高级数据开发工程师,宁夏天盟实业集团有限公司,7千-9千,银川-金凤区,1-3年,7000,9000,本科,民营 ,20-99人 ,3,宁夏,8000,20,1,1
数据分析师,宁夏世纪信通信息安全有限公司,3千-6千,银川-金凤区,1-3年,3000,6000,本科,民营 ,100-299人 ,3,宁夏,4500,100,1,1
大数据软件销售经理,内蒙古数智源科技有限公司,8千-1.5万,银川-兴庆区,1-3年,8000,15000,大专,民营 ,100-299人 ,3,宁夏,11500,100,1,5
数据管理岗,银川建发集团股份有限公司,1万-1.5万,银川,3-5年,1000,15000,本科,民营 ,1000-9999人 ,5,宁夏,8000,1000,3,1
软件销售-可接受应届生-大数据/舆情,北京智慧星光信息技术有限公司,6千-1万,银川-兴庆区,不限,6000,1000,大专,民营 ,1000-9999人 ,20,宁夏,3500,1000,20,1
ETL工程师,天阳科技,8千-1.3万,银川-金凤区,3-5年,8000,13000,本科,上市公司 ,1000-9999人 ,5,宁夏,10500,1000,3,3
数据分析高级工程师,新大陆软件,1.1万-1.5万,银川-金凤区,5-10年,11000,15000,本科,民营 ,1000-9999人 ,10,宁夏,13000,1000,5,2
智能拉晶工程师（数据分析方向）,宁夏中环光伏材料有限公司,7千-1.3万,银川-西夏区,3-5年,7000,13000,本科,民营 ,1000-9999人 ,5,宁夏,10000,1000,3,1
数据运营部经理(J11730),宁夏伊品生物科技股份有限公司,1.5万-3万,银川-永宁县,3-5年,15000,3000,本科,股份制企业 ,1000-9999人 ,5,宁夏,9000,1000,3,1
数据运营岗,无锡拓炎汽车服务有限公司,6千-1.2万,银川-贺兰县,不限,6000,12000,大专,民营 ,10000人以上 ,20,宁夏,9000,10000,20,1
数据分析师（银川）,北京清软创新科技股份有限公司,1.1万-1.6万,银川-兴庆区,1-3年,11000,16000,本科,股份制企业 ,1000-9999人 ,3,宁夏,13500,1000,1,1
报表开发工程师(J11816),宁夏中环光伏材料有限公司,6千-8千,银川-西夏区,1-3年,6000,8000,本科,民营 ,1000-9999人 ,3,宁夏,7000,1000,1,2
数据分析初级工程师,新大陆软件,5千-8千,银川-金凤区,1-3年,5000,8000,本科,民营 ,1000-9999人 ,3,宁夏,6500,1000,1,6
数据岗,中国平安财产保险股份有限公司宁夏分公司,5千-7千,银川,1-3年,5000,7000,本科,股份制企业 ,20-99人 ,3,宁夏,6000,20,1,1
数据工程师,北京精博新图科技有限公司,1万-1.5万,银川-金凤区,1-3年,1000,15000,本科,民营 ,10000人以上 ,3,宁夏,8000,10000,1,1
竞品分析工程师,宁夏宝丰集团有限公司,1.2万-2.4万,银川-兴庆区,3-5年,12000,24000,大专,民营 ,1000-9999人 ,5,宁夏,18000,1000,3,1
数据分析中级工程师,新大陆软件,8千-1.1万,银川-金凤区,3-5年,8000,11000,本科,民营 ,10000人以上 ,5,宁夏,9500,10000,3,5
经营分析主管,宁夏宝丰集团有限公司,1万-1.8万,银川-兴庆区,5-10年,1000,18000,本科,民营 ,10000人以上 ,10,宁夏,9500,10000,5,1
初级数据开发,青岛洛塔信息技术有限公司,7千-1.4万,青岛-李沧,不限,7000,14000,大专,股份制企业 ,20人以下 ,20,山东,10500,20,20,10
大数据分析实习生,南京巨英数据科技有限公司,5千-8千,临沂-兰山,不限,5000,8000,大专,民营 ,100-299人 ,20,山东,6500,100,20,3
2023届大学生（大数据分析岗）(J10354),潍柴雷沃智慧农业科技股份有限公司,6千-9千,潍坊,不限,6000,9000,本科,国企 ,1000-9999人 ,20,山东,7500,1000,20,1
大数据分析师（实习生）,北京先烽科技有限公司,6千-8千,枣庄-薛城区,不限,6000,8000,大专,民营 ,20-99人 ,20,山东,7000,20,20,6
大数据实习生,南京巨英数据科技有限公司,5千-8千,临沂-兰山,不限,5000,8000,大专,民营 ,100-299人 ,20,山东,6500,100,20,3
大数据分析师（实习生）,北京环丁扬冠科技有限公司,6千-9千,淄博-张店区,不限,6000,9000,大专,民营 ,20-99人 ,20,山东,7500,20,20,6
大数据分析师（无经验）,北京多耀商贸有限公司,1万-1.2万,烟台-莱山,不限,1000,12000,大专,民营 ,20-99人 ,20,山东,6500,20,20,6
大数据分析师（实习生）,北京环丁扬冠科技有限公司,6千-8千,济南-历下,不限,6000,8000,大专,民营 ,20-99人 ,20,山东,7000,20,20,6
大数据分析实习生,南京卓颢达信息科技有限公司,4千-6千,潍坊-奎文,不限,4000,6000,大专,其它 ,20-99人 ,20,山东,5000,20,20,2
大数据分析师（实习生）,北京杉汇商贸有限公司,6千-8千,潍坊-奎文,不限,6000,8000,大专,民营 ,20-99人 ,20,山东,7000,20,20,6
大数据分析师（实习生）,北京多耀商贸有限公司,6千-8千,青岛-市南,不限,6000,8000,大专,民营 ,20-99人 ,20,山东,7000,20,20,6
大数据实习生,南京卓颢达信息科技有限公司,4千-6千,潍坊-奎文,不限,4000,6000,大专,其它 ,20-99人 ,20,山东,5000,20,20,3
大数据分析师（实习生）,北京梦十分教育咨询有限公司,6千-8千,聊城-东昌府区,不限,6000,8000,大专,民营 ,20-99人 ,20,山东,7000,20,20,6
大数据工程师,山东华菱电子股份有限公司,8千-1.2万,威海-环翠区,1-3年,8000,12000,本科,合资 ,500-999人 ,3,山东,10000,500,1,1
大数据开发工程师,山大地纬,9千-1.5万,济南-章丘,1-3年,9000,15000,本科,上市公司 ,1000-9999人 ,3,山东,12000,1000,1,2
大数据开发工程师,潍柴雷沃智慧农业科技股份有限公司,1万-1.5万,潍坊,3-5年,1000,15000,本科,国企 ,1000-9999人 ,5,山东,8000,1000,3,2
大数据统计,青岛程诺数通网络科技有限公司,5千-9千,青岛,不限,5000,9000,大专,民营 ,20-99人 ,20,山东,7000,20,20,5
大数据销售,山东隆众信息技术有限公司,4千-8千,淄博-张店区,不限,4000,8000,大专,民营 ,1000-9999人 ,20,山东,6000,1000,20,1
大数据开发工程师,潍柴雷沃智慧农业科技股份有限公司,1.5万-3万,潍坊,3-5年,15000,3000,本科,国企 ,1000-9999人 ,5,山东,9000,1000,3,5
大数据销售,环球慧思数据技术有限公司,1万-2万,青岛,不限,1000,2000,大专,股份制企业 ,300-499人 ,20,山东,1500,300,20,1
大数据分析,北京顺意天达供应链管理有限公司,8千-1.2万,济南-槐荫,不限,8000,12000,大专,民营 ,20-99人 ,20,山东,10000,20,20,6
大数据统计,青岛诺宸尚迅信息技术有限公司,5千-8千,青岛-城阳,不限,5000,8000,中专/中技,民营 ,20-99人 ,20,山东,6500,20,20,0
大数据讲师,青岛蓝波湾教育科技有限公司,8千-1.6万,烟台-福山,3-5年,8000,16000,本科,民营 ,100-299人 ,5,山东,12000,100,3,1
大数据营销,山东隆众信息技术有限公司,4千-8千,淄博-临淄区,不限,4000,8000,大专,民营 ,1000-9999人 ,20,山东,6000,1000,20,5
大数据讲师,青软创新科技集团股份有限公司,1.3万-1.8万,济南-历下,3-5年,13000,18000,本科,民营 ,500-999人 ,5,山东,15500,500,3,5
大数据分析,青岛方天科技股份有限公司,8千-1.5万,济南-市中,1-3年,8000,15000,本科,股份制企业 ,100-299人 ,3,山东,11500,100,1,3
大数据讲师,青岛蓝波湾教育科技有限公司,1.5万-3万,青岛-李沧,3-5年,15000,3000,本科,民营 ,100-299人 ,5,山东,9000,100,3,2
