岗位名称,公司名称,薪资,所在城市,工作经验,最低薪资,最高薪资,学历,企业性质,公司规模,最高工作经验,省市,平均薪资,公司最低规模,最低工作经验,招聘人数
数据处理-飞天园区,武汉佰钧成技术有限责任公司,6千-7千,杭州-西湖,1-3年,6000,7000,大专,民营 ,1000-9999人 ,3,浙江,6500,1000,1,1
数据安全合规运营助理,外企德科,6千-9千,杭州-余杭,不限,6000,9000,大专,合资 ,1000-9999人 ,20,浙江,7500,1000,20,1
数据专员,三生(中国)健康产业有限公司,6千-8千,宁波,1-3年,6000,8000,大专,合资 ,1000-9999人 ,3,浙江,7000,1000,1,1
财务共享实施专员,道一(天津)企业管理咨询有限公司,1万-1.4万,杭州-钱塘,5-10年,1000,14000,本科,民营 ,100-299人 ,10,浙江,7500,100,5,10
业务分析处专员/主管,正泰电器,9千-1.2万,杭州-滨江,1-3年,9000,12000,本科,上市公司 ,10000人以上 ,3,浙江,10500,10000,1,1
统计分析工程师（杭州）,宇视科技,9千-1.5万,杭州-滨江,3-5年,9000,15000,本科,民营 ,1000-9999人 ,5,浙江,12000,1000,3,1
数据分析师,深圳市百数科技有限公司,7千-9千,杭州-上城,无经验,7000,9000,本科,民营 ,100-299人 ,0,浙江,8000,100,0,6
项目运营专员（数据方向）,富日供应链科技有限公司,7千-1万,杭州-滨江,1-3年,7000,1000,大专,合资 ,1000-9999人 ,3,浙江,4000,1000,1,1
商业分析高级专家,传化物流,3.5万-6.5万,杭州,5-10年,35000,65000,本科,民营 ,1000-9999人 ,10,浙江,50000,1000,5,3
数据分析师,北京睿笔广告传媒有限公司,1万-1.5万,杭州-上城,5-10年,1000,15000,大专,民营 ,100-299人 ,10,浙江,8000,100,5,1
数据治理工程师（base:杭州）,北京捷报金峰数据技术有限公司,1万-2万,杭州-上城,5-10年,1000,2000,本科,民营 ,20-99人 ,10,浙江,1500,20,5,1
数据分析高级工程师,浙江爱旭太阳能科技有限公司,1.5万-2.5万,金华-义乌市,3-5年,15000,25000,本科,民营 ,1000-9999人 ,5,浙江,20000,1000,3,1
数据分析师（时代院线）(J10056),之江电影集团有限公司,1.6万-2.5万,杭州-拱墅,3-5年,16000,25000,本科,国企 ,500-999人 ,5,浙江,20500,500,3,2
数据分析师 (MJ005010),正泰集团,1.5万-2.5万,杭州-滨江,3-5年,15000,25000,本科,民营 ,10000人以上 ,5,浙江,20000,10000,3,1
数据分析师,上海汉升软件有限公司,1.3万-1.6万,杭州-拱墅,3-5年,13000,16000,本科,民营 ,100-299人 ,5,浙江,14500,100,3,1
数据运营经理,浙江同心妇幼产品发展有限公司,1.5万-2万,杭州-西湖,5-10年,15000,2000,本科,股份制企业 ,500-999人 ,10,浙江,8500,500,5,1
物联网卡运营,嘉兴市启扬信息科技有限公司,6千-8千,杭州-上城,1-3年,6000,8000,本科,民营 ,20-99人 ,3,浙江,7000,20,1,1
数据分析师,上海汉升软件有限公司,1.2万-1.8万,杭州-拱墅,3-5年,12000,18000,本科,民营 ,100-299人 ,5,浙江,15000,100,3,2
云和数字化部（杭州）,湖北卡速宝汽车服务有限公司,3万-4万,杭州-滨江,5-10年,3000,4000,本科,民营 ,100-299人 ,10,浙江,3500,100,5,1
高级数据分析工程师,博威合金,1.3万-1.7万,宁波-鄞州,3-5年,13000,17000,大专,股份制企业 ,1000-9999人 ,5,浙江,15000,1000,3,1
devops工程师（技术合伙人）,福建兜有网络科技有限公司,2.6万-2.9万,宁波-江北,3-5年,26000,29000,大专,民营 ,20-99人 ,5,浙江,27500,20,3,1
zy2353-数据工程师,中盈优创资讯科技有限公司,1.8万-2.5万,杭州-上城,3-5年,18000,25000,本科,国企 ,500-999人 ,5,浙江,21500,500,3,5
数据分析师（呼叫中心/客服行业）,北京东方才博企业管理顾问有限公司,8千-1.2万,杭州-余杭,3-5年,8000,12000,大专,民营 ,100-299人 ,5,浙江,10000,100,3,1
数据工程师（2023校招）,天健会计师事务所(特殊普通合伙),5千-6千,杭州-上城,不限,5000,6000,本科,民营 ,1000-9999人 ,20,浙江,5500,1000,20,5
数据库开发工程师,北京联龙博通电子商务技术有限公司,1.3万-2.4万,杭州-滨江,3-5年,13000,24000,本科,民营 ,1000-9999人 ,5,浙江,18500,1000,3,1
数据治理工程师,康恩贝,1.1万-2.2万,杭州,1-3年,11000,22000,本科,上市公司 ,1000-9999人 ,3,浙江,16500,1000,1,1
数据分析工程师,南京百思奥信息技术有限公司,1万-1.5万,杭州-上城,3-5年,1000,15000,大专,民营 ,20-99人 ,5,浙江,8000,20,3,1
数据库管理岗,浙江民泰商业银行,1万-1.8万,杭州-余杭,3-5年,1000,18000,本科,民营 ,1000-9999人 ,5,浙江,9500,1000,3,1
网络架构师,浙江金科汤姆猫文化产业股份有限公司,1万-2万,杭州,3-5年,1000,2000,本科,上市公司 ,1000-9999人 ,5,浙江,1500,1000,3,1
大数据讲师,武汉美和易思数字科技有限公司,9千-1.2万,昆明-安宁,3-5年,9000,12000,本科,民营 ,500-999人 ,5,云南,10500,500,3,1
数据开发（可接受小白）,纤可网络科技有限公司,8千-1万,昆明-西山,不限,8000,1000,本科,民营 ,20-99人 ,20,云南,4500,20,20,0
实施工程师（偏数据开发）,昆明东电科技有限公司,6千-8千,昆明-官渡,1-3年,6000,8000,本科,民营 ,100-299人 ,3,云南,7000,100,1,2
大数据开发工程师,润和软件,1万-1.5万,昆明-官渡,5-10年,1000,15000,本科,上市公司 ,1000-9999人 ,10,云南,8000,1000,5,5
高级数据分析师,昆明信飞科技有限公司,7千-1.1万,昆明-盘龙,3-5年,7000,11000,本科,民营 ,20-99人 ,5,云南,9000,20,3,1
大数据产品经理,开利科技股份有限公司,1万-1.8万,昆明-盘龙,3-5年,1000,18000,本科,民营 ,20-99人 ,5,云南,9500,20,3,1
大数据工程师,昆明珍茗食品有限责任公司,1万-1.3万,昆明-西山,3-5年,1000,13000,本科,民营 ,1000-9999人 ,5,云南,7000,1000,3,1
高级大数据开发工程师,润和软件,1.2万-1.7万,昆明-官渡,5-10年,12000,17000,本科,上市公司 ,1000-9999人 ,10,云南,14500,1000,5,2
信息技术部数据开发岗,诚泰财产保险股份有限公司,8千-1.6万,昆明-盘龙,3-5年,8000,16000,本科,国企 ,1000-9999人 ,5,云南,12000,1000,3,3
IT数据开发工程师(J12072),曲靖市德方纳米科技有限公司,8千-1万,曲靖,3-5年,8000,1000,本科,民营 ,1000-9999人 ,5,云南,4500,1000,3,2
数字化技术研究员（昆明）,上海华讯网络系统有限公司,1.2万-1.8万,昆明-西山,3-5年,12000,18000,博士,国企 ,1000-9999人 ,5,云南,15000,1000,3,1
大数据工程师,润和软件,6千-1万,昆明-官渡,3-5年,6000,1000,本科,上市公司 ,1000-9999人 ,5,云南,3500,1000,3,1
研发设计,云南昆船烟草设备有限公司,7千-8千,昆明,无经验,7000,8000,本科,国企 ,500-999人 ,0,云南,7500,500,0,2
数据开发工程师（昆明）,北京企服嘉通技术服务有限公司,6千-1.2万,昆明-西山,3-5年,6000,12000,本科,民营 ,20-99人 ,5,云南,9000,20,3,0
大数据运维工程师,润和软件,6千-1万,昆明-官渡,3-5年,6000,1000,本科,上市公司 ,1000-9999人 ,5,云南,3500,1000,3,3
数据统计分析,广西职来职往网络科技集团有限公司柳州分公司,7千-1万,昆明-呈贡,不限,7000,1000,本科,民营 ,100-299人 ,20,云南,4000,100,20,3
数据统计,红河邦德新材料有限公司,4千-6千,红河-蒙自市,1-3年,4000,6000,高中,民营 ,20-99人 ,3,云南,5000,20,1,1
数据运营,广州回龙企业管理咨询有限公司昆明分公司,3千-5千,昆明-盘龙,不限,3000,5000,大专,民营 ,20-99人 ,20,云南,4000,20,20,1
数据运营,昆明星向科技有限公司,4千-6千,昆明,不限,4000,6000,学历不限,民营 ,20-99人 ,20,云南,5000,20,20,1
YX02-业务分析师,远信科技,1万-1.5万,昆明-官渡,5-10年,1000,15000,本科,民营 ,300-499人 ,10,云南,8000,300,5,1
中级数据分析师,昆明信飞科技有限公司,5千-7千,昆明-盘龙,1-3年,5000,7000,大专,民营 ,20-99人 ,3,云南,6000,20,1,1
信息专员,上海克而瑞信息技术有限公司,5千-8千,昆明-盘龙,1-3年,5000,8000,本科,外商独资 ,1000-9999人 ,3,云南,6500,1000,1,1
数据分析员,云南时光有为网络科技有限公司,4千-8千,昆明-西山,1-3年,4000,8000,本科,民营 ,100-299人 ,3,云南,6000,100,1,1
数据分析专员,昆明清逸堂现代商务有限公司,4千-6千,大理-大理市,1-3年,4000,6000,大专,民营 ,100-299人 ,3,云南,5000,100,1,1
数据运营,昆明满月贝贝健康科技有限公司,4千-6千,昆明-五华,3-5年,4000,6000,大专,民营 ,100-299人 ,5,云南,5000,100,3,1
数据分析员,昆明远睿企业管理咨询有限公司,5千-7千,昆明-五华,不限,5000,7000,本科,股份制企业 ,20-99人 ,20,云南,6000,20,20,0
数据分析主管(021804),隆基绿能科技股份有限公司,7千-1.2万,丽江-华坪县,3-5年,7000,12000,本科,股份制企业 ,10000人以上 ,5,云南,9500,10000,3,1
数据治理专家,智联猎头,2万-4万,昆明-西山,3-5年,2000,4000,硕士,上市公司 ,1000-9999人 ,5,云南,3000,1000,3,1
人力资源数据分析师,武汉仕和人力资源有限公司,8千-1.2万,曲靖-马龙区,1-3年,8000,12000,本科,民营 ,100-299人 ,3,云南,10000,100,1,1
数据工程师（内业数据生产/加工）,贵州图智信息技术有限公司,5千-9千,昆明-五华,3-5年,5000,9000,大专,民营 ,20-99人 ,5,云南,7000,20,3,1
数据分析员（校招）,震安科技股份有限公司,6千-1万,昆明-西山,无经验,6000,1000,本科,上市公司 ,500-999人 ,0,云南,3500,500,0,1
数据分析师,云南创网科技有限公司,4千-8千,昆明-西山,不限,4000,8000,本科,上市公司 ,300-499人 ,20,云南,6000,300,20,1
数据分析师,大连嘉木咨询有限公司,5千-7千,昆明-盘龙,1-3年,5000,7000,本科,民营 ,20人以下 ,3,云南,6000,20,1,0
信息技术岗,智联猎头,8千-1万,昆明-官渡,1-3年,8000,1000,硕士,上市公司 ,1000-9999人 ,3,云南,4500,1000,1,1
信息系统管理岗,云南建投第二建设有限公司,4千-6千,昆明-盘龙,不限,4000,6000,本科,国企 ,1000-9999人 ,20,云南,5000,1000,20,0
数据专家,大连嘉木咨询有限公司,8千-1.2万,昆明-盘龙,1-3年,8000,12000,本科,民营 ,20人以下 ,3,云南,10000,20,1,0
大数据标注,天津众创企业管理有限公司,4千-7千,天津-滨海新区,不限,4000,7000,大专,民营 ,500-999人 ,20,天津,5500,500,20,1
大数据讲师,北京八维研修学院,1.2万-2万,天津-北辰,3-5年,12000,2000,本科,民营 ,1000-9999人 ,5,天津,7000,1000,3,1
大数据运营,天津汇之禧信息技术有限公司,1.2万-2.4万,天津-东丽,5-10年,12000,24000,本科,民营 ,100-299人 ,10,天津,18000,100,5,1
大数据分析师（应届）,海博浩(深圳)贸易有限公司,8千-1.2万,天津-河西,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据讲师,北京八维研修学院,1.5万-2.5万,天津-北辰,5-10年,15000,25000,大专,民营 ,1000-9999人 ,10,天津,20000,1000,5,1
大数据分析师助理,北京先烽科技有限公司,8千-1.2万,天津-宁河,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据讲师,北京八维研修学院,1.6万-2.2万,天津-北辰,3-5年,16000,22000,本科,民营 ,1000-9999人 ,5,天津,19000,1000,3,1
大数据分析师管培生,北京旋动商贸有限公司,8千-1.2万,天津-南开,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,4
大数据分析师（可培养）,北京慰鑫科技有限公司,8千-1.2万,天津-河北,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,13
大数据地图标注员月入过万,天津众创企业管理有限公司,6千-8千,天津-滨海新区,不限,6000,8000,大专,民营 ,500-999人 ,20,天津,7000,500,20,8
大数据分析师（实习生）,海博浩(深圳)贸易有限公司,6千-8千,天津-南开,不限,6000,8000,大专,民营 ,20-99人 ,20,天津,7000,20,20,6
大数据开发工程师-自主研发,大连隆基信息技术有限公司,1.5万-2.5万,天津-西青,3-5年,15000,25000,大专,民营 ,100-299人 ,5,天津,20000,100,3,1
大数据分析师,北京慰鑫科技有限公司,8千-1.2万,天津-红桥,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据标注员,天津众创企业管理有限公司,4千-7千,天津-滨海新区,不限,4000,7000,大专,民营 ,500-999人 ,20,天津,5500,500,20,10
大数据分析师,北京旋动商贸有限公司,8千-1.2万,天津-河西,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据分析师助理,北京先烽科技有限公司,8千-1.2万,天津-静海,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据分析师助理,北京金照商贸有限公司,8千-1.2万,天津-河西,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,12
大数据分析师,北京慰鑫科技有限公司,8千-1.2万,天津-南开,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据分析师,海博浩(深圳)贸易有限公司,8千-1.2万,天津-河东,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,7
大数据分析师助理,北京慰鑫科技有限公司,8千-1.2万,天津-河西,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,0
数据统计分析,北京多耀商贸有限公司,6千-8千,天津-南开,不限,6000,8000,大专,民营 ,20-99人 ,20,天津,7000,20,20,6
大数据标注月过万,天津众创企业管理有限公司,4千-8千,天津-滨海新区,不限,4000,8000,大专,民营 ,500-999人 ,20,天津,6000,500,20,5
软件数据分析师,北京慰鑫科技有限公司,8千-1.5万,天津-河西,不限,8000,15000,大专,民营 ,20-99人 ,20,天津,11500,20,20,5
大数据分析师,北京先烽科技有限公司,9千-1.5万,天津-河西,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
大数据分析师（无经验）,北京杉汇商贸有限公司,9千-1.5万,天津-南开,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
信息资源管理中心数据治理处数据治理工程师,特变电工,1万-2万,天津-武清,5-10年,1000,2000,本科,上市公司 ,10000人以上 ,10,天津,1500,10000,5,1
大数据分析师,北京佳德好商贸有限公司,9千-1.5万,天津-南开,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
大数据分析师助理,北京慰鑫科技有限公司,1万-1.2万,天津-河西,不限,1000,12000,大专,民营 ,20-99人 ,20,天津,6500,20,20,0
数据采集（ETL）岗,爱玛科技集团股份有限公司,8千-1.6万,天津,3-5年,8000,16000,本科,上市公司 ,10000人以上 ,5,天津,12000,10000,3,1
大数据分析师（无经验）,北京杉汇商贸有限公司,9千-1.5万,天津-和平,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
大数据工程师,中电云脑(天津)科技有限公司,1.5万-2万,天津-西青,3-5年,15000,2000,硕士,国企 ,20-99人 ,5,天津,8500,20,3,1
数据分析师,天津德尔塔科技有限公司,6千-1.2万,天津-西青,不限,6000,12000,本科,民营 ,20-99人 ,20,天津,9000,20,20,10
大数据分析师（实习生）,北京慰鑫科技有限公司,6千-8千,天津-南开,不限,6000,8000,大专,民营 ,20-99人 ,20,天津,7000,20,20,0
环境大数据分析专员,佳华科技,6千-8千,天津-武清,1-3年,6000,8000,本科,民营 ,500-999人 ,3,天津,7000,500,1,1
爬虫工程师,天津卓漫科技有限公司,5千-8千,天津-西青,不限,5000,8000,本科,民营 ,500-999人 ,20,天津,6500,500,20,5
大数据分析师（实习生）,海博浩(深圳)贸易有限公司,6千-8千,天津-红桥,不限,6000,8000,大专,民营 ,20-99人 ,20,天津,7000,20,20,6
大数据分析师,北京慰鑫科技有限公司,8千-1.2万,天津-河西,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,5
大数据分析师,北京佳德好商贸有限公司,9千-1.5万,天津-河西,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
大数据分析师（无经验）,北京杉汇商贸有限公司,9千-1.5万,天津-河西,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,0
软件工程师-校园招聘,天津莱迈自动化科技有限公司,1万-1.3万,天津-津南,无经验,1000,13000,本科,民营 ,20人以下 ,0,天津,7000,20,0,2
软件数据分析师,北京慰鑫科技有限公司,8千-1.5万,天津-和平,不限,8000,15000,大专,民营 ,20-99人 ,20,天津,11500,20,20,5
大数据分析师,北京佳德好商贸有限公司,9千-1.5万,天津-和平,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
金融大数据分析师,海博浩(深圳)贸易有限公司,9千-1.5万,天津-河西,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,0
大数据分析师（可培养）,北京蓝飞信息科技有限公司,9千-1.2万,天津-南开,不限,9000,12000,大专,民营 ,20-99人 ,20,天津,10500,20,20,5
大数据工程师,天津中教高科科技有限公司,3千-5千,天津-西青,不限,3000,5000,中专/中技,民营 ,20-99人 ,20,天津,4000,20,20,20
大数据分析师,津云(天津)智慧城市运营管理有限公司,8千-1.6万,天津-西青,1-3年,8000,16000,本科,民营 ,20-99人 ,3,天津,12000,20,1,1
大数据分析师,北京佳德好商贸有限公司,9千-1.5万,天津-河东,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
电气工程师（光伏大数据事业部）,信息产业电子第十一设计研究院科技工程股份有限公司天津分公司,9千-1.6万,天津-西青,不限,9000,16000,本科,股份制企业 ,100-299人 ,20,天津,12500,100,20,10
大数据分析师（可培养）,北京蓝飞信息科技有限公司,9千-1.2万,天津-西青,不限,9000,12000,大专,民营 ,20-99人 ,20,天津,10500,20,20,5
研发博士（化学、仿真模拟、人工智能、大数据等方向，应届也可）,五维创世(大连)科技发展有限公司,2万-4万,天津-武清,不限,2000,4000,博士,民营 ,20-99人 ,20,天津,3000,20,20,0
大数据开发工程师,中电金信软件有限公司,1.3万-2.5万,天津-滨海新区,3-5年,13000,25000,本科,国企 ,10000人以上 ,5,天津,19000,10000,3,1
数据分析,中国移动通信有限公司在线营销服务中心,6千-1.2万,天津-和平,1-3年,6000,12000,本科,国企 ,10000人以上 ,3,天津,9000,10000,1,0
数据开发工程师（DX3mab） (MJ000655),东方国信,6千-1.2万,天津-西青,1-3年,6000,12000,本科,上市公司 ,1000-9999人 ,3,天津,9000,1000,1,2
大数据分析师（无经验）,北京杉汇商贸有限公司,9千-1.5万,天津-河西,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
数据库开发工程师,天津卓信软件开发有限公司,6千-8千,天津-和平,1-3年,6000,8000,学历不限,合资 ,20-99人 ,3,天津,7000,20,1,3
数据开发工程师,中汽数据有限公司,6千-8千,天津-西青,1-3年,6000,8000,大专,国企 ,500-999人 ,3,天津,7000,500,1,15
内勤文员大数据标注,天津众创企业管理有限公司,5千-8千,天津-滨海新区,不限,5000,8000,大专,民营 ,500-999人 ,20,天津,6500,500,20,1
大数据工程师,软通动力信息技术(集团)股份有限公司,1.3万-1.9万,天津-西青,3-5年,13000,19000,本科,民营 ,10000人以上 ,5,天津,16000,10000,3,2
大数据开发工程师,环球慧思数据技术有限公司,1.2万-2万,天津-和平,5-10年,12000,2000,本科,股份制企业 ,300-499人 ,10,天津,7000,300,5,1
金融大数据分析师,北京蓝飞信息科技有限公司,8千-1.2万,天津-滨海新区,不限,8000,12000,大专,民营 ,20-99人 ,20,天津,10000,20,20,6
大数据分析师,北京先烽科技有限公司,9千-1.5万,天津-红桥,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
大数据项目经理,天津汇之禧信息技术有限公司,1.6万-2.5万,天津-东丽,10年以上,16000,25000,本科,民营 ,100-299人 ,10,天津,20500,100,10,1
数据分析工程师,玛斯特轻量化科技(天津)有限公司,1万-1.8万,天津-北辰,5-10年,1000,18000,大专,民营 ,100-299人 ,10,天津,9500,100,5,1
大数据分析师（可培养）,北京蓝飞信息科技有限公司,9千-1.2万,天津-河西,不限,9000,12000,大专,民营 ,20-99人 ,20,天津,10500,20,20,0
ETL工程师（BHYH）,长亮科技,1.3万-2万,天津-河东,3-5年,13000,2000,本科,上市公司 ,1000-9999人 ,5,天津,7500,1000,3,1
大数据工程师,天津智能轨道交通研究院有限公司,8千-1.2万,天津-武清,不限,8000,12000,本科,国企 ,20-99人 ,20,天津,10000,20,20,3
ETL工程师,天阳科技,1万-1.5万,天津-河东,3-5年,1000,15000,本科,上市公司 ,1000-9999人 ,5,天津,8000,1000,3,1
数据分析师,天津强微特生物科技有限公司,7千-1.2万,天津,3-5年,7000,12000,本科,民营 ,100-299人 ,5,天津,9500,100,3,1
大数据分析师（无经验）,北京蓝飞信息科技有限公司,7千-9千,天津-河西,不限,7000,9000,大专,民营 ,20-99人 ,20,天津,8000,20,20,5
环境大数据分析工程师,佳华科技,5千-8千,天津-东丽,1-3年,5000,8000,本科,民营 ,500-999人 ,3,天津,6500,500,1,3
ETL工程师（BHYH）,北京汉克时代科技有限公司,1.8万-2.2万,天津-河东,5-10年,18000,22000,大专,民营 ,1000-9999人 ,10,天津,20000,1000,5,1
大数据分析师,北京佳德好商贸有限公司,9千-1.5万,天津-和平,不限,9000,15000,大专,民营 ,20-99人 ,20,天津,12000,20,20,6
大数据部（信息部）储备干部,天津海河农业科技有限公司,1万-1.5万,天津,1年以下,1000,15000,本科,民营 ,100-299人 ,1,天津,8000,100,1,4
大数据分析师（可培养）,北京蓝飞信息科技有限公司,9千-1.2万,天津-河西,不限,9000,12000,大专,民营 ,20-99人 ,20,天津,10500,20,20,0
大数据工程师（负责数据治理与分析挖掘）,星际空间(天津)科技发展有限公司,1万-2万,天津-西青,3-5年,1000,2000,本科,国企 ,100-299人 ,5,天津,1500,100,3,2
开发数据采集工程师,天津大海电信科技有限公司,1万-1.8万,天津-滨海新区,3-5年,1000,18000,本科,民营 ,20-99人 ,5,天津,9500,20,3,1
大数据开发工程师,易宝软件科技(南京)有限公司,9千-1.5万,天津-滨海新区,3-5年,9000,15000,本科,外商独资 ,1000-9999人 ,5,天津,12000,1000,3,1
行业数据分析师,海量信息,6千-8千,天津,不限,6000,8000,硕士,民营 ,100-299人 ,20,天津,7000,100,20,1
大数据工程师,津房联(天津)有限公司,1.4万-1.5万,天津-西青,3-5年,14000,15000,硕士,股份制企业 ,20-99人 ,5,天津,14500,20,3,1
Python大数据分析特训营课程tj/培训招生,51Testing,8千-1.2万,天津-和平,不限,8000,12000,大专,民营 ,100-299人 ,20,天津,10000,100,20,3
大数据分析师,星际空间(天津)科技发展有限公司,1万-2万,天津,3-5年,1000,2000,本科,国企 ,100-299人 ,5,天津,1500,100,3,1
大数据开发工程师,华科信息,8千-1.5万,天津-河东,3-5年,8000,15000,本科,股份制企业 ,100-299人 ,5,天津,11500,100,3,1
大数据工程师,津房联(天津)有限公司,1.4万-2万,天津-西青,5-10年,14000,2000,硕士,股份制企业 ,20-99人 ,10,天津,8000,20,5,2
资深大数据工程师,天津市津房置换有限责任公司,1.5万-2.5万,天津-河西,5-10年,15000,25000,本科,国企 ,500-999人 ,10,天津,20000,500,5,1
数据开发工程师,南京思优普信息科技有限公司,1.2万-1.5万,天津-河东,3-5年,12000,15000,本科,民营 ,100-299人 ,5,天津,13500,100,3,1
数据分析师——舆情方向,海量信息,4千-8千,天津-和平,1-3年,4000,8000,本科,民营 ,100-299人 ,3,天津,6000,100,1,2
大数据运维开发工程师,软通动力信息技术(集团)股份有限公司,1万-2万,天津-河北,5-10年,1000,2000,本科,民营 ,10000人以上 ,10,天津,1500,10000,5,1
数据主管,河南嘉氏堂生物科技有限公司,8千-1万,天津-西青,3-5年,8000,1000,本科,股份制企业 ,1000-9999人 ,5,天津,4500,1000,3,1
高级数据分析师,环球慧思数据技术有限公司,1.5万-2万,天津-和平,5-10年,15000,2000,本科,股份制企业 ,300-499人 ,10,天津,8500,300,5,1
数据智能运营,中国移动通信有限公司在线营销服务中心,6千-1.2万,天津-和平,1-3年,6000,12000,本科,国企 ,10000人以上 ,3,天津,9000,10000,1,2
大数据电商开发实习生,天津中教高科科技有限公司,6千-1.1万,天津-西青,不限,6000,11000,大专,民营 ,20-99人 ,20,天津,8500,20,20,10
大数据项目经理,弘扬软件股份有限公司,9千-1.5万,天津-河西,3-5年,9000,15000,本科,民营 ,300-499人 ,5,天津,12000,300,3,1
大数据架构师,北京易华录信息技术股份有限公司,2.5万-3.5万,天津-津南,5-10年,25000,35000,本科,股份制企业 ,1000-9999人 ,10,天津,30000,1000,5,1
金融银行高级ETL开发,北京神州数字科技有限公司,1.3万-2.5万,天津-西青,3-5年,13000,25000,本科,上市公司 ,10000人以上 ,5,天津,19000,10000,3,3
大数据工程师,晟越博思,1.4万-1.5万,天津-西青,5-10年,14000,15000,大专,民营 ,20-99人 ,10,天津,14500,20,5,1
大数据项目经理,天津市艾讯网络科技有限公司,1万-1.5万,天津-南开,1-3年,1000,15000,本科,民营 ,20-99人 ,3,天津,8000,20,1,2
爬虫工程师,拓尔思信息技术股份有限公司,5千-1万,天津-红桥,不限,5000,1000,本科,上市公司 ,1000-9999人 ,20,天津,3000,1000,20,2
后端开发工程师 （数据中台）,华海智汇技术有限公司,1.3万-2万,天津-滨海新区,5-10年,13000,2000,本科,合资 ,500-999人 ,10,天津,7500,500,5,1
数据开发工程师,天津利安隆新材料股份有限公司,1万-1.5万,天津-西青,不限,1000,15000,本科,上市公司 ,1000-9999人 ,20,天津,8000,1000,20,1
数据治理工程师/银行项目/稳定发展/13薪,长亮科技,1万-1.5万,天津-河东,3-5年,1000,15000,本科,上市公司 ,1000-9999人 ,5,天津,8000,1000,3,1
高级大数据开发工程师,天津市艾讯网络科技有限公司,2万-3万,天津-南开,5-10年,2000,3000,本科,民营 ,20-99人 ,10,天津,2500,20,5,2
Python,拓尔思信息技术股份有限公司,5千-1万,天津-红桥,不限,5000,1000,本科,上市公司 ,1000-9999人 ,20,天津,3000,1000,20,1
大数据开发工程师,北京启众软件科技有限公司,1.2万-1.7万,天津-东丽,3-5年,12000,17000,大专,民营 ,20-99人 ,5,天津,14500,20,3,1
大数据运维工程师,广州新华时代数据系统有限公司,8千-1.1万,天津-河东,1-3年,8000,11000,本科,民营 ,100-299人 ,3,天津,9500,100,1,1
数据开发工程师,天津鑫裕房屋智能制造股份有限公司,1万-1.8万,天津-东丽,3-5年,1000,18000,本科,上市公司 ,300-499人 ,5,天津,9500,300,3,1
IT运维工程师（云计算、大数据方向）,天津海展会议展览有限公司,9千-1.5万,天津-津南,3-5年,9000,15000,本科,国企 ,100-299人 ,5,天津,12000,100,3,1
数据库内核开发工程师--SQL编译和优化,海量数据,2.5万-5万,天津,5-10年,25000,5000,本科,股份制企业 ,500-999人 ,10,天津,15000,500,5,3
大数据工程师（KY）,清华大学天津电子信息研究院,2万-4万,天津-滨海新区,5-10年,2000,4000,硕士,事业单位 ,100-299人 ,10,天津,3000,100,5,1
ADS数据开发工程师,经纬恒润,9千-1.4万,天津-西青,3-5年,9000,14000,本科,民营 ,1000-9999人 ,5,天津,11500,1000,3,1
天津健康医疗大数据有限公司销售经理,浪潮集团,1.2万-2万,天津-武清,3-5年,12000,2000,本科,国企 ,10000人以上 ,5,天津,7000,10000,3,1
大数据工程师,荣程集团,1.6万-1.8万,天津-津南,5-10年,16000,18000,本科,民营 ,1000-9999人 ,10,天津,17000,1000,5,1
大数据工程师,津房联(天津)有限公司,1.4万-2万,天津-西青,3-5年,14000,2000,硕士,股份制企业 ,20-99人 ,5,天津,8000,20,3,3
